Format Version,1.21,Take Name,Take 2019-01-03 03.48.29 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-01-03 03.48.29 PM,Total Frames in Take,36415,Total Exported Frames,36415,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,,Skeleton6_Hip,Skeleton6_Hip,Skeleton6_Hip,Skeleton6_Hip,Skeleton6_Hip,Skeleton6_Hip,Skeleton6_Hip,Skeleton6_Ab,Skeleton6_Ab,Skeleton6_Ab,Skeleton6_Ab,Skeleton6_Ab,Skeleton6_Ab,Skeleton6_Ab,Skeleton6_Chest,Skeleton6_Chest,Skeleton6_Chest,Skeleton6_Chest,Skeleton6_Chest,Skeleton6_Chest,Skeleton6_Chest,Skeleton6_Neck,Skeleton6_Neck,Skeleton6_Neck,Skeleton6_Neck,Skeleton6_Neck,Skeleton6_Neck,Skeleton6_Neck,Skeleton6_Head,Skeleton6_Head,Skeleton6_Head,Skeleton6_Head,Skeleton6_Head,Skeleton6_Head,Skeleton6_Head,Skeleton6_LShoulder,Skeleton6_LShoulder,Skeleton6_LShoulder,Skeleton6_LShoulder,Skeleton6_LShoulder,Skeleton6_LShoulder,Skeleton6_LShoulder,Skeleton6_LUArm,Skeleton6_LUArm,Skeleton6_LUArm,Skeleton6_LUArm,Skeleton6_LUArm,Skeleton6_LUArm,Skeleton6_LUArm,Skeleton6_LFArm,Skeleton6_LFArm,Skeleton6_LFArm,Skeleton6_LFArm,Skeleton6_LFArm,Skeleton6_LFArm,Skeleton6_LFArm,Skeleton6_LHand,Skeleton6_LHand,Skeleton6_LHand,Skeleton6_LHand,Skeleton6_LHand,Skeleton6_LHand,Skeleton6_LHand,Skeleton6_RShoulder,Skeleton6_RShoulder,Skeleton6_RShoulder,Skeleton6_RShoulder,Skeleton6_RShoulder,Skeleton6_RShoulder,Skeleton6_RShoulder,Skeleton6_RUArm,Skeleton6_RUArm,Skeleton6_RUArm,Skeleton6_RUArm,Skeleton6_RUArm,Skeleton6_RUArm,Skeleton6_RUArm,Skeleton6_RFArm,Skeleton6_RFArm,Skeleton6_RFArm,Skeleton6_RFArm,Skeleton6_RFArm,Skeleton6_RFArm,Skeleton6_RFArm,Skeleton6_RHand,Skeleton6_RHand,Skeleton6_RHand,Skeleton6_RHand,Skeleton6_RHand,Skeleton6_RHand,Skeleton6_RHand,Skeleton6_LThigh,Skeleton6_LThigh,Skeleton6_LThigh,Skeleton6_LThigh,Skeleton6_LThigh,Skeleton6_LThigh,Skeleton6_LThigh,Skeleton6_LShin,Skeleton6_LShin,Skeleton6_LShin,Skeleton6_LShin,Skeleton6_LShin,Skeleton6_LShin,Skeleton6_LShin,Skeleton6_LFoot,Skeleton6_LFoot,Skeleton6_LFoot,Skeleton6_LFoot,Skeleton6_LFoot,Skeleton6_LFoot,Skeleton6_LFoot,Skeleton6_RThigh,Skeleton6_RThigh,Skeleton6_RThigh,Skeleton6_RThigh,Skeleton6_RThigh,Skeleton6_RThigh,Skeleton6_RThigh,Skeleton6_RShin,Skeleton6_RShin,Skeleton6_RShin,Skeleton6_RShin,Skeleton6_RShin,Skeleton6_RShin,Skeleton6_RShin,Skeleton6_RFoot,Skeleton6_RFoot,Skeleton6_RFoot,Skeleton6_RFoot,Skeleton6_RFoot,Skeleton6_RFoot,Skeleton6_RFoot,Skeleton6_LToe,Skeleton6_LToe,Skeleton6_LToe,Skeleton6_LToe,Skeleton6_LToe,Skeleton6_LToe,Skeleton6_LToe,Skeleton6_RToe,Skeleton6_RToe,Skeleton6_RToe,Skeleton6_RToe,Skeleton6_RToe,Skeleton6_RToe,Skeleton6_RToe
,,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.052238,0.061152,-0.016318,-0.996627,-0.525119,0.629625,1.205469,0.098474,0.072593,-0.020912,-0.992268,-0.527250,0.710638,1.196820,-0.032205,0.071076,-0.048690,-0.995761,-0.535551,1.009440,1.136286,-0.160964,0.051976,-0.144964,-0.974872,-0.572140,1.325773,1.183418,-0.130096,0.054732,-0.170579,-0.975183,-0.615126,1.466297,1.207610,-0.211657,0.218898,-0.157577,-0.939391,-0.527578,1.312243,1.156946,-0.637447,0.590380,0.130723,-0.477519,-0.422263,1.337310,1.215853,-0.334510,0.729400,0.458178,-0.382298,-0.346766,1.090777,1.327438,-0.252743,0.558297,0.687708,-0.389207,-0.489378,0.843707,1.401462,-0.227759,0.323264,-0.067013,-0.916044,-0.602588,1.305208,1.145929,-0.543669,-0.150203,-0.459210,-0.686287,-0.698969,1.308225,1.069175,-0.099330,-0.283189,-0.624820,-0.720790,-0.848748,1.085262,0.986816,-0.068485,0.049809,0.809152,0.581466,-0.865340,0.815224,1.066988,-0.075886,-0.154413,-0.018239,-0.984919,-0.426524,0.633493,1.217415,0.064396,-0.160684,-0.097094,-0.980105,-0.423396,0.386146,1.178574,0.068357,-0.063142,-0.027361,-0.995285,-0.347604,0.036727,1.212705,-0.311083,0.224327,-0.004789,-0.923516,-0.623714,0.625758,1.193524,0.026546,0.166047,0.025549,-0.985429,-0.586552,0.423835,1.050188,0.038114,0.417837,0.031830,-0.907164,-0.607804,0.065640,1.065932,,,,,,,,,,,,,,
1,0.008333,0.051698,0.058957,-0.016063,-0.996792,-0.524031,0.629820,1.205759,0.098322,0.070380,-0.019816,-0.992465,-0.526144,0.710843,1.197205,-0.032311,0.068979,-0.047624,-0.995957,-0.533923,1.009635,1.136837,-0.161009,0.050862,-0.142278,-0.975318,-0.569679,1.326034,1.184171,-0.131201,0.054081,-0.169394,-0.975278,-0.611924,1.466898,1.208502,-0.212169,0.216914,-0.155304,-0.940113,-0.525257,1.312418,1.157506,-0.636584,0.588695,0.134481,-0.479702,-0.419554,1.337063,1.215893,-0.333906,0.726149,0.460704,-0.385962,-0.343501,1.090245,1.326467,-0.250630,0.555033,0.689269,-0.392468,-0.484530,0.842796,1.400907,-0.227452,0.321921,-0.065258,-0.916719,-0.600328,1.305535,1.146809,-0.543935,-0.151740,-0.457223,-0.687064,-0.696980,1.308838,1.070408,-0.103115,-0.288999,-0.621162,-0.721113,-0.847522,1.085949,0.989247,-0.058482,0.054858,0.803770,0.589512,-0.864779,0.816809,1.070573,-0.076992,-0.154739,-0.018289,-0.984781,-0.425382,0.633608,1.217276,0.065548,-0.158969,-0.095694,-0.980446,-0.422329,0.386347,1.177889,0.065942,-0.064702,-0.024779,-0.995415,-0.347447,0.036842,1.213126,-0.310656,0.222864,-0.004178,-0.924017,-0.622680,0.626031,1.194242,0.025706,0.165461,0.026219,-0.985533,-0.586075,0.423972,1.050954,0.037701,0.417938,0.032045,-0.907127,-0.607691,0.065771,1.066037,,,,,,,,,,,,,,
2,0.016667,0.051453,0.056896,-0.015829,-0.996928,-0.522877,0.630111,1.206141,0.098325,0.068222,-0.018809,-0.992635,-0.524972,0.711140,1.197633,-0.032478,0.066897,-0.046622,-0.996141,-0.532272,1.009927,1.137327,-0.161430,0.049897,-0.138989,-0.975773,-0.567239,1.326378,1.184893,-0.132158,0.053741,-0.168325,-0.975353,-0.608543,1.467510,1.209462,-0.212725,0.215076,-0.152997,-0.940788,-0.522957,1.312688,1.158036,-0.636153,0.586779,0.137894,-0.481648,-0.416883,1.336890,1.215934,-0.333487,0.723109,0.462769,-0.389543,-0.340086,1.089829,1.325446,-0.250910,0.550910,0.691357,-0.394421,-0.479476,0.842011,1.400336,-0.227365,0.320477,-0.063432,-0.917374,-0.598085,1.305946,1.147658,-0.544017,-0.153364,-0.455429,-0.687829,-0.695023,1.309563,1.071634,-0.106529,-0.294445,-0.617660,-0.721422,-0.846207,1.086668,0.991693,-0.049691,0.059976,0.798380,0.597096,-0.864074,0.818615,1.074097,-0.078160,-0.154248,-0.018364,-0.984765,-0.424179,0.633830,1.217254,0.066264,-0.156154,-0.094141,-0.981001,-0.421160,0.386661,1.177290,0.062578,-0.066123,-0.023042,-0.995581,-0.347387,0.037012,1.213425,-0.310001,0.221911,-0.003271,-0.924470,-0.621575,0.626392,1.195028,0.024756,0.165594,0.026894,-0.985516,-0.585610,0.424127,1.051870,0.037252,0.418190,0.032150,-0.907026,-0.607594,0.065917,1.066197,,,,,,,,,,,,,,
3,0.025000,0.051539,0.054893,-0.015658,-0.997038,-0.521732,0.630391,1.206649,0.098402,0.066130,-0.017730,-0.992789,-0.523816,0.711419,1.198133,-0.032672,0.064871,-0.045712,-0.996311,-0.530588,1.010260,1.137831,-0.162236,0.048783,-0.136323,-0.976072,-0.564829,1.326754,1.185638,-0.132805,0.053268,-0.166705,-0.975569,-0.605342,1.467963,1.210528,-0.213120,0.213361,-0.150665,-0.941465,-0.520681,1.312998,1.158593,-0.635663,0.584749,0.141455,-0.483727,-0.414251,1.336754,1.216022,-0.333144,0.719844,0.465007,-0.393202,-0.336677,1.089451,1.324433,-0.249742,0.547380,0.692780,-0.397567,-0.474367,0.841176,1.399697,-0.227274,0.319051,-0.061591,-0.918019,-0.595862,1.306386,1.148524,-0.544189,-0.155070,-0.453863,-0.688346,-0.693082,1.310322,1.072877,-0.109637,-0.299617,-0.614621,-0.721423,-0.844771,1.087364,0.994075,-0.041641,0.064333,0.792167,0.605474,-0.862971,0.820373,1.077477,-0.079061,-0.154200,-0.017912,-0.984708,-0.422989,0.634057,1.217368,0.066672,-0.154300,-0.092898,-0.981385,-0.420261,0.386951,1.176996,0.059257,-0.067238,-0.022480,-0.995722,-0.347381,0.037173,1.213701,-0.309356,0.222277,-0.002109,-0.924601,-0.620476,0.626726,1.195930,0.023734,0.166498,0.027723,-0.985366,-0.585063,0.424257,1.052922,0.036826,0.418437,0.032247,-0.906926,-0.607525,0.066044,1.066405,,,,,,,,,,,,,,
4,0.033333,0.052193,0.054035,-0.015030,-0.997061,-0.520652,0.630601,1.207042,0.098079,0.064299,-0.016702,-0.992959,-0.522635,0.711621,1.198427,-0.032823,0.062848,-0.044812,-0.996476,-0.528910,1.010563,1.138362,-0.162865,0.047636,-0.133831,-0.976368,-0.562428,1.327103,1.186379,-0.133288,0.052706,-0.164716,-0.975872,-0.602168,1.468271,1.211516,-0.213438,0.211692,-0.148401,-0.942129,-0.518415,1.313280,1.159150,-0.635257,0.582751,0.144761,-0.485690,-0.411644,1.336605,1.216118,-0.333162,0.716652,0.466780,-0.396900,-0.333291,1.089091,1.323482,-0.247465,0.544987,0.692850,-0.402131,-0.469115,0.840269,1.399135,-0.227116,0.317813,-0.059615,-0.918618,-0.593648,1.306794,1.149389,-0.544639,-0.156741,-0.452232,-0.688685,-0.691122,1.311087,1.074089,-0.112782,-0.305074,-0.611323,-0.721453,-0.843348,1.088123,0.996347,-0.033612,0.069066,0.785981,0.613461,-0.861918,0.822247,1.080874,-0.079815,-0.154268,-0.017098,-0.984652,-0.421886,0.634140,1.217596,0.067003,-0.153457,-0.091950,-0.981584,-0.419621,0.387079,1.176917,0.056088,-0.067724,-0.023544,-0.995848,-0.347400,0.037208,1.214026,-0.308460,0.223059,-0.000862,-0.924714,-0.619418,0.627061,1.196488,0.022979,0.167148,0.028504,-0.985252,-0.584561,0.424313,1.053739,0.036579,0.418645,0.032256,-0.906840,-0.607494,0.066107,1.066580,,,,,,,,,,,,,,
5,0.041667,0.052539,0.052641,-0.014447,-0.997126,-0.519499,0.630884,1.207594,0.098068,0.062474,-0.015720,-0.993092,-0.521397,0.711901,1.198930,-0.032946,0.060991,-0.043946,-0.996626,-0.527188,1.010867,1.138919,-0.164191,0.046442,-0.132017,-0.976451,-0.560017,1.327452,1.187118,-0.133347,0.052184,-0.162291,-0.976298,-0.599172,1.468425,1.212679,-0.213642,0.210061,-0.146188,-0.942794,-0.516129,1.313563,1.159720,-0.634458,0.580683,0.148350,-0.488122,-0.409027,1.336474,1.216234,-0.333113,0.713138,0.469032,-0.400597,-0.329914,1.088776,1.322612,-0.246774,0.541472,0.694236,-0.404905,-0.463831,0.839485,1.398456,-0.227097,0.316554,-0.057637,-0.919184,-0.591409,1.307200,1.150243,-0.544896,-0.158256,-0.450768,-0.689095,-0.689136,1.311861,1.075294,-0.114933,-0.309703,-0.608691,-0.721367,-0.841837,1.088873,0.998558,-0.027745,0.072766,0.779971,0.620951,-0.860569,0.824034,1.084174,-0.080680,-0.154076,-0.015676,-0.984635,-0.420700,0.634297,1.217877,0.067390,-0.152908,-0.091206,-0.981712,-0.419196,0.387282,1.176884,0.052837,-0.067909,-0.024300,-0.995995,-0.347475,0.037350,1.214390,-0.307995,0.221846,-0.000206,-0.925161,-0.618298,0.627470,1.197310,0.022112,0.168335,0.029306,-0.985046,-0.583985,0.424579,1.054634,0.035864,0.419034,0.031988,-0.906698,-0.607395,0.066377,1.066737,,,,,,,,,,,,,,
