Time,hip.X,hip.Y,hip.Z,lButtock.X,lButtock.Y,lButtock.Z,lThigh.X,lThigh.Y,lThigh.Z,lShin.X,lShin.Y,lShin.Z,lFoot.X,lFoot.Y,lFoot.Z,lFootEnd.X,lFootEnd.Y,lFootEnd.Z,rButtock.X,rButtock.Y,rButtock.Z,rThigh.X,rThigh.Y,rThigh.Z,rShin.X,rShin.Y,rShin.Z,rFoot.X,rFoot.Y,rFoot.Z,rFootEnd.X,rFootEnd.Y,rFootEnd.Z,abdomen.X,abdomen.Y,abdomen.Z,chest.X,chest.Y,chest.Z,lCollar.X,lCollar.Y,lCollar.Z,lShldr.X,lShldr.Y,lShldr.Z,lForeArm.X,lForeArm.Y,lForeArm.Z,lHand.X,lHand.Y,lHand.Z,lPinky1.X,lPinky1.Y,lPinky1.Z,lPinky2.X,lPinky2.Y,lPinky2.Z,lPinky2End.X,lPinky2End.Y,lPinky2End.Z,lRing1.X,lRing1.Y,lRing1.Z,lRing2.X,lRing2.Y,lRing2.Z,lRing2End.X,lRing2End.Y,lRing2End.Z,lMid1.X,lMid1.Y,lMid1.Z,lMid2.X,lMid2.Y,lMid2.Z,lMid2End.X,lMid2End.Y,lMid2End.Z,lIndex1.X,lIndex1.Y,lIndex1.Z,lIndex2.X,lIndex2.Y,lIndex2.Z,lIndex2End.X,lIndex2End.Y,lIndex2End.Z,lThumb1.X,lThumb1.Y,lThumb1.Z,lThumb2.X,lThumb2.Y,lThumb2.Z,lThumb2End.X,lThumb2End.Y,lThumb2End.Z,rCollar.X,rCollar.Y,rCollar.Z,rShldr.X,rShldr.Y,rShldr.Z,rForeArm.X,rForeArm.Y,rForeArm.Z,rHand.X,rHand.Y,rHand.Z,rPinky1.X,rPinky1.Y,rPinky1.Z,rPinky2.X,rPinky2.Y,rPinky2.Z,rPinky2End.X,rPinky2End.Y,rPinky2End.Z,rRing1.X,rRing1.Y,rRing1.Z,rRing2.X,rRing2.Y,rRing2.Z,rRing2End.X,rRing2End.Y,rRing2End.Z,rMid1.X,rMid1.Y,rMid1.Z,rMid2.X,rMid2.Y,rMid2.Z,rMid2End.X,rMid2End.Y,rMid2End.Z,rIndex1.X,rIndex1.Y,rIndex1.Z,rIndex2.X,rIndex2.Y,rIndex2.Z,rIndex2End.X,rIndex2End.Y,rIndex2End.Z,rThumb1.X,rThumb1.Y,rThumb1.Z,rThumb2.X,rThumb2.Y,rThumb2.Z,rThumb2End.X,rThumb2End.Y,rThumb2End.Z,neck.X,neck.Y,neck.Z,head.X,head.Y,head.Z,rightEye.X,rightEye.Y,rightEye.Z,rightEyeEnd.X,rightEyeEnd.Y,rightEyeEnd.Z,leftEye.X,leftEye.Y,leftEye.Z,leftEyeEnd.X,leftEyeEnd.Y,leftEyeEnd.Z
0.0,0.00592657,-0.0295336,1.55737,0.0,3.88251e-19,2.03217e-16,-7.46952,0.204667,-2.06478,7.96077,-0.117524,-0.00450087,-0.498689,-0.0508352,0.5395,0.0,0.0,0.0,0.0,-3.88251e-19,-2.03217e-16,-1.92716,0.000318203,-1.04899,-2.07858,-0.0748903,-0.00908074,3.9982,0.139383,-0.50575,0.0,0.0,0.0,-0.0011253,-0.0554687,-2.04814,0.00679362,-0.0976938,-0.56432,-2.19362e-17,-2.98177e-16,-2.22135e-14,-3.47873e-16,-3.77691e-15,-4.63681e-13,-2.39595e-12,8.5875e-14,-7.97589e-12,2.28935e-12,-3.75305e-13,-9.11011e-11,-2.31783e-13,-6.52014e-13,-2.14922e-10,-0.733487,0.20892,-2.22167,0.0,0.0,0.0,-2.34566e-13,-6.42472e-13,-2.14936e-10,0.731801,-0.0259123,-10.2786,0.0,0.0,0.0,-2.35262e-13,-6.42472e-13,-2.14928e-10,0.965183,-0.102902,-2.90554,0.0,0.0,0.0,-2.3059e-13,-6.2975e-13,-2.14936e-10,5.47488,-0.417314,-7.73091,0.0,0.0,0.0,-2.35229e-13,-6.42472e-13,-2.14928e-10,-4.0393e-13,-1.0965e-12,-3.71164e-10,0.0,0.0,0.0,-2.44598e-17,9.93923e-17,-2.2117e-14,-6.4605e-16,-1.78906e-15,-4.58949e-13,2.36931e-12,3.81667e-14,-7.9495e-12,-2.48058e-12,-3.53042e-13,-9.11375e-11,-2.42517e-13,-6.3293e-13,-2.14951e-10,-0.733487,-0.20892,2.22167,0.0,0.0,0.0,-2.40331e-13,-6.48833e-13,-2.14946e-10,0.731801,0.0259123,10.2786,0.0,0.0,0.0,-2.41026e-13,-6.48833e-13,-2.14953e-10,0.965183,0.102902,2.90554,0.0,0.0,0.0,-2.36951e-13,-6.58375e-13,-2.14945e-10,5.47488,0.417314,7.73091,0.0,0.0,0.0,-2.41345e-13,-6.45653e-13,-2.14952e-10,-4.13472e-13,-1.12115e-12,-3.71218e-10,0.0,0.0,0.0,-7.95139e-16,-1.2424e-16,-4.42258e-14,-6.36111e-15,-3.71168e-16,-1.32679e-13,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.00833333,-0.648982,-2.15983,0.78264,0.0,3.88251e-19,2.03217e-16,-6.03397,0.565592,-0.103939,12.4949,-0.194879,-0.0297853,-4.28517,1.88027,0.655671,0.0,0.0,0.0,0.0,-3.88251e-19,-2.03217e-16,-2.38571,1.30483,-0.754738,5.07151,0.0765501,0.00657798,0.309956,-2.70077,-0.698632,0.0,0.0,0.0,0.739259,-0.190759,-1.19082,-0.335644,-0.169068,-0.0111467,-8.1073e-15,-6.06348e-14,-1.7312e-15,6.08098,-13.2338,-12.0105,14.4086,42.8038,-2.83305,-2.70473,0.3786,-0.0148429,-7.34498e-11,-3.86155e-11,-1.7966e-10,-0.733487,0.20892,-2.22167,0.0,0.0,0.0,-7.34511e-11,-3.86056e-11,-1.79674e-10,0.731801,-0.0259123,-10.2786,0.0,0.0,0.0,-7.34512e-11,-3.86048e-11,-1.79666e-10,0.965183,-0.102902,-2.90554,0.0,0.0,0.0,-7.34472e-11,-3.85949e-11,-1.79672e-10,5.47488,-0.417314,-7.73091,0.0,0.0,0.0,-7.34518e-11,-3.86056e-11,-1.79666e-10,-1.26237e-10,-6.70265e-11,-3.08946e-10,0.0,0.0,0.0,-8.10896e-15,-6.0321e-14,-1.61564e-15,3.98179,0.88791,21.7947,-1.14561,4.74703,-2.92427,-2.35351,-0.329764,0.0112046,-3.98253e-10,-1.11544e-10,-2.10188e-10,-0.733487,-0.20892,2.22167,0.0,0.0,0.0,-3.98253e-10,-1.11557e-10,-2.10181e-10,0.731801,0.0259123,10.2786,0.0,0.0,0.0,-3.98254e-10,-1.11555e-10,-2.10189e-10,0.965183,0.102902,2.90554,0.0,0.0,0.0,-3.98251e-10,-1.11565e-10,-2.10182e-10,5.47488,0.417314,7.73091,0.0,0.0,0.0,-3.98253e-10,-1.11554e-10,-2.10188e-10,-6.90688e-10,-1.93561e-10,-3.61678e-10,0.0,0.0,0.0,1.85461,-1.06088,-1.85399,1.59398,-1.81353,-0.483825,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.01666666,-1.3382,-4.41711,-0.0841292,0.0,3.88251e-19,2.03217e-16,-4.51023,0.946958,1.94243,17.2803,-0.280926,-0.0425658,-8.2685,3.95661,1.05877,0.0,0.0,0.0,0.0,-3.88251e-19,-2.03217e-16,-2.87071,2.67812,-0.430102,12.6345,0.241819,-0.0187143,-3.56917,-5.70231,-1.29798,0.0,0.0,0.0,1.51852,-0.329704,-0.285175,-0.698652,-0.243466,0.569,-1.59873e-14,-1.23601e-13,2.18296e-14,11.4249,-27.6509,-21.7151,3.40457,85.8908,-18.71,-5.57482,0.783221,0.00854643,-1.3877e-10,-8.34963e-11,-1.24098e-10,-0.733487,0.20892,-2.22167,0.0,0.0,0.0,-1.3877e-10,-8.3486e-11,-1.24113e-10,0.731801,-0.0259123,-10.2786,0.0,0.0,0.0,-1.38769e-10,-8.34842e-11,-1.24104e-10,0.965183,-0.102902,-2.90554,0.0,0.0,0.0,-1.38766e-10,-8.34774e-11,-1.24108e-10,5.47488,-0.417314,-7.73091,0.0,0.0,0.0,-1.38771e-10,-8.3486e-11,-1.24105e-10,-2.38443e-10,-1.44821e-10,-2.11473e-10,0.0,0.0,0.0,-1.59881e-14,-1.23377e-13,2.19666e-14,8.1904,1.84405,44.7009,-2.33213,9.77616,-5.81294,-4.85925,-0.682759,-0.00658456,-7.86765e-10,-2.2932e-10,-2.34619e-10,-0.733487,-0.20892,2.22167,0.0,0.0,0.0,-7.86767e-10,-2.29329e-10,-2.34612e-10,0.731801,0.0259123,10.2786,0.0,0.0,0.0,-7.86769e-10,-2.29325e-10,-2.3462e-10,0.965183,0.102902,2.90554,0.0,0.0,0.0,-7.86767e-10,-2.29336e-10,-2.34613e-10,5.47488,0.417314,7.73091,0.0,0.0,0.0,-7.86768e-10,-2.29327e-10,-2.34618e-10,-1.36467e-09,-3.98047e-10,-4.0249e-10,0.0,0.0,0.0,3.81035,-2.18736,-3.73387,3.2883,-3.73788,-0.896243,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.02499999,-1.94789,-6.42372,-0.91266,0.0,3.88251e-19,2.03217e-16,-3.16286,1.28347,3.76342,21.5631,-0.363445,-0.0407131,-11.805,5.85085,1.66647,0.0,0.0,0.0,0.0,-3.88251e-19,-2.03217e-16,-3.29697,3.91697,-0.103571,19.3713,0.401143,-0.0802924,-6.98971,-8.44349,-2.18258,0.0,0.0,0.0,2.21997,-0.461639,0.534315,-1.02051,-0.311858,1.09264,-2.4278e-14,-1.81308e-13,3.92333e-14,14.3565,-41.0124,-28.1439,-27.8502,109.359,-22.62,-8.11277,1.146,0.0636206,-2.19886e-10,-1.14542e-10,-1.09135e-10,-0.733487,0.20892,-2.22167,0.0,0.0,0.0,-2.19884e-10,-1.14532e-10,-1.0915e-10,0.731801,-0.0259123,-10.2786,0.0,0.0,0.0,-2.19883e-10,-1.14529e-10,-1.09141e-10,0.965183,-0.102902,-2.90554,0.0,0.0,0.0,-2.1988e-10,-1.14525e-10,-1.09144e-10,5.47488,-0.417314,-7.73091,0.0,0.0,0.0,-2.19885e-10,-1.14532e-10,-1.09142e-10,-3.77902e-10,-1.98887e-10,-1.84509e-10,0.0,0.0,0.0,-2.42779e-14,-1.81162e-13,3.9387e-14,11.9338,2.71604,65.0072,-3.34261,14.263,-8.20902,-7.05959,-0.996008,-0.0481836,-1.19427e-09,-3.33367e-10,-2.00661e-10,-0.733487,-0.20892,2.22167,0.0,0.0,0.0,-1.19428e-09,-3.33372e-10,-2.00652e-10,0.731801,0.0259123,10.2786,0.0,0.0,0.0,-1.19428e-09,-3.33367e-10,-2.00661e-10,0.965183,0.102902,2.90554,0.0,0.0,0.0,-1.19428e-09,-3.33378e-10,-2.00655e-10,5.47488,0.417314,7.73091,0.0,0.0,0.0,-1.19428e-09,-3.33371e-10,-2.00659e-10,-2.07124e-09,-5.7844e-10,-3.42597e-10,0.0,0.0,0.0,5.5562,-3.19599,-5.35523,4.76274,-5.45738,-1.14837,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.03333332,-2.36921,-7.80044,-1.54235,0.0,3.88251e-19,2.03217e-16,-2.25623,1.50998,5.05991,24.5899,-0.425843,-0.0308848,-14.275,7.18819,2.23052,0.0,0.0,0.0,0.0,-3.88251e-19,-2.03217e-16,-3.58113,4.81728,0.183546,24.0427,0.523188,-0.147438,-9.34298,-10.4561,-3.01293,0.0,0.0,0.0,2.72693,-0.575799,1.13162,-1.23949,-0.3652,1.47677,-3.35954e-14,-2.25869e-13,4.12444e-14,14.986,-50.4895,-31.7511,-55.1778,120.45,-17.2893,-9.8218,1.39418,0.119797,-3.40489e-10,-1.11001e-10,-1.95668e-10,-0.733487,0.20892,-2.22167,0.0,0.0,0.0,-3.40487e-10,-1.10991e-10,-1.95683e-10,0.731801,-0.0259123,-10.2786,0.0,0.0,0.0,-3.40486e-10,-1.10989e-10,-1.95673e-10,0.965183,-0.102902,-2.90554,0.0,0.0,0.0,-3.40484e-10,-1.10985e-10,-1.95677e-10,5.47488,-0.417314,-7.73091,0.0,0.0,0.0,-3.40488e-10,-1.10992e-10,-1.95674e-10,-5.85496e-10,-1.93631e-10,-3.3382e-10,0.0,0.0,0.0,-3.35946e-14,-2.2577e-13,4.14031e-14,14.5253,3.32735,79.0849,-4.00345,17.3731,-9.77119,-8.49736,-1.20315,-0.0893847,-1.64927e-09,-4.03091e-10,-2.07267e-11,-0.733487,-0.20892,2.22167,0.0,0.0,0.0,-1.64928e-09,-4.03094e-10,-2.07169e-11,0.731801,0.0259123,10.2786,0.0,0.0,0.0,-1.64928e-09,-4.03088e-10,-2.07257e-11,0.965183,0.102902,2.90554,0.0,0.0,0.0,-1.64928e-09,-4.031e-10,-2.07193e-11,5.47488,0.417314,7.73091,0.0,0.0,0.0,-1.64928e-09,-4.03094e-10,-2.07234e-11,-2.85925e-09,-6.98599e-10,-3.09408e-11,0.0,0.0,0.0,6.78462,-3.89733,-6.47638,5.70631,-6.648,-1.21894,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.04166665,-2.53972,-8.29102,-1.84223,0.0,3.88251e-19,2.03217e-16,-1.95844,1.58169,5.6324,25.8526,-0.452836,-0.0241531,-15.2864,7.67143,2.47692,0.0,0.0,0.0,0.0,-3.88251e-19,-2.03217e-16,-3.66539,5.25575,0.393837,25.8276,0.574513,-0.179306,-10.2738,-11.3985,-3.42764,0.0,0.0,0.0,2.959,-0.666241,1.40664,-1.31385,-0.397921,1.6746,-4.79352e-14,-2.56647e-13,1.55552e-14,14.8182,-54.273,-33.0903,-66.3588,126.066,-11.7946,-10.396,1.47855,0.143295,-5.45285e-10,-3.97558e-11,-4.81292e-10,-0.733487,0.20892,-2.22167,0.0,0.0,0.0,-5.45282e-10,-3.97464e-11,-4.81307e-10,0.731801,-0.0259123,-10.2786,0.0,0.0,0.0,-5.4528e-10,-3.97454e-11,-4.81296e-10,0.965183,-0.102902,-2.90554,0.0,0.0,0.0,-5.45279e-10,-3.97409e-11,-4.81303e-10,5.47488,-0.417314,-7.73091,0.0,0.0,0.0,-5.45282e-10,-3.97488e-11,-4.81298e-10,-9.38103e-10,-7.23317e-11,-8.28715e-10,0.0,0.0,0.0,-4.79339e-14,-2.56551e-13,1.56973e-14,15.494,3.53377,84.5647,-4.23214,18.5262,-10.3279,-8.81878,-1.24998,-0.102323,-2.29812e-09,-4.1687e-10,4.75895e-10,-0.733487,-0.20892,2.22167,0.0,0.0,0.0,-2.29812e-09,-4.16873e-10,4.75905e-10,0.731801,0.0259123,10.2786,0.0,0.0,0.0,-2.29813e-09,-4.16866e-10,4.75897e-10,0.965183,0.102902,2.90554,0.0,0.0,0.0,-2.29813e-09,-4.16881e-10,4.75905e-10,5.47488,0.417314,7.73091,0.0,0.0,0.0,-2.29813e-09,-4.16875e-10,4.75899e-10,-3.98147e-09,-7.20243e-10,8.27226e-10,0.0,0.0,0.0,7.28596,-4.16109,-6.98017,5.94644,-7.08722,-1.11918,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.04999998,-2.53283,-8.14812,-1.89652,0.0,3.88251e-19,2.03217e-16,-2.09583,1.54284,5.69155,25.8556,-0.452448,-0.0233523,-15.2664,7.52383,2.43571,0.0,0.0,0.0,0.0,-3.88251e-19,-2.03217e-16,-3.60786,5.36337,0.544624,25.5506,0.56922,-0.174747,-10.2083,-11.5539,-3.45917,0.0,0.0,0.0,2.99485,-0.739614,1.4509,-1.28494,-0.415884,1.7392,-6.56917e-14,-2.77361e-13,-2.9627e-14,14.7328,-54.0396,-33.0308,-65.1096,125.266,-12.6228,-10.1586,1.44394,0.136012,-8.0884e-10,7.89318e-11,-9.0641e-10,-0.733487,0.20892,-2.22167,0.0,0.0,0.0,-8.08837e-10,7.89398e-11,-9.06424e-10,0.731801,-0.0259123,-10.2786,0.0,0.0,0.0,-8.08836e-10,7.89386e-11,-9.06413e-10,0.965183,-0.102902,-2.90554,0.0,0.0,0.0,-8.08836e-10,7.89461e-11,-9.06424e-10,5.47488,-0.417314,-7.73091,0.0,0.0,0.0,-8.08837e-10,7.89352e-11,-9.06415e-10,-1.39193e-09,1.30284e-10,-1.56575e-09,0.0,0.0,0.0,-6.569e-14,-2.77236e-13,-2.95165e-14,15.3068,3.44096,83.9319,-4.16968,18.2788,-10.204,-8.34527,-1.18172,-0.0907067,-3.07937e-09,-3.91064e-10,1.19337e-09,-0.733487,-0.20892,2.22167,0.0,0.0,0.0,-3.07937e-09,-3.91068e-10,1.19338e-09,0.731801,0.0259123,10.2786,0.0,0.0,0.0,-3.07937e-09,-3.91063e-10,1.19338e-09,0.965183,0.102902,2.90554,0.0,0.0,0.0,-3.07938e-09,-3.91079e-10,1.19339e-09,5.47488,0.417314,7.73091,0.0,0.0,0.0,-3.07937e-09,-3.91073e-10,1.19338e-09,-5.33193e-09,-6.72195e-10,2.06652e-09,0.0,0.0,0.0,7.2698,-4.1096,-7.05752,5.68617,-6.98711,-0.917668,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.05833331,-2.44586,-7.75527,-1.86246,0.0,3.88251e-19,2.03217e-16,-2.42008,1.46151,5.55553,25.3639,-0.441324,-0.0248845,-14.8358,7.12917,2.28214,0.0,0.0,0.0,0.0,-3.88251e-19,-2.03217e-16,-3.4997,5.31714,0.674711,24.4417,0.540783,-0.155723,-9.73038,-11.3655,-3.32089,0.0,0.0,0.0,2.95645,-0.803993,1.41564,-1.2157,-0.427184,1.73738,-7.90788e-14,-2.86653e-13,-7.27655e-14,14.6892,-52.1974,-32.3899,-58.8793,122.006,-15.8624,-9.55717,1.35623,0.116187,-1.04965e-09,1.85744e-10,-1.29613e-09,-0.733487,0.20892,-2.22167,0.0,0.0,0.0,-1.04964e-09,1.8575e-10,-1.29614e-09,0.731801,-0.0259123,-10.2786,0.0,0.0,0.0,-1.04964e-09,1.85747e-10,-1.29613e-09,0.965183,-0.102902,-2.90554,0.0,0.0,0.0,-1.04964e-09,1.85758e-10,-1.29615e-09,5.47488,-0.417314,-7.73091,0.0,0.0,0.0,-1.04964e-09,1.85744e-10,-1.29613e-09,-1.80684e-09,3.12638e-10,-2.24156e-09,0.0,0.0,0.0,-7.90767e-14,-2.86488e-13,-7.26848e-14,14.6859,3.23525,80.8573,-3.99789,17.4969,-9.81939,-7.6328,-1.07928,-0.0733195,-3.70979e-09,-3.62052e-10,1.81948e-09,-0.733487,-0.20892,2.22167,0.0,0.0,0.0,-3.70979e-09,-3.62058e-10,1.81949e-09,0.731801,0.0259123,10.2786,0.0,0.0,0.0,-3.70979e-09,-3.62054e-10,1.81949e-09,0.965183,0.102902,2.90554,0.0,0.0,0.0,-3.7098e-09,-3.62072e-10,1.8195e-09,5.47488,0.417314,7.73091,0.0,0.0,0.0,-3.7098e-09,-3.62066e-10,1.81949e-09,-6.4214e-09,-6.1897e-10,3.14779e-09,0.0,0.0,0.0,7.05911,-3.92958,-6.9361,5.18234,-6.67146,-0.69177,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.06666664,-2.37614,-7.49604,-1.89758,0.0,3.88251e-19,2.03217e-16,-2.68285,1.40575,5.54323,25.1428,-0.436375,-0.0247,-14.6161,6.87221,2.1926,0.0,0.0,0.0,0.0,-3.88251e-19,-2.03217e-16,-3.43189,5.29411,0.82347,23.7308,0.522872,-0.144621,-9.41947,-11.2799,-3.24145,0.0,0.0,0.0,2.96578,-0.867498,1.45283,-1.16908,-0.439916,1.73592,-8.03102e-14,-2.83169e-13,-9.23239e-14,14.6089,-51.1431,-31.9862,-55.149,120.343,-17.3381,-9.03901,1.2811,0.101268,-1.1862e-09,2.21363e-10,-1.47556e-09,-0.733487,0.20892,-2.22167,0.0,0.0,0.0,-1.18619e-09,2.21368e-10,-1.47558e-09,0.731801,-0.0259123,-10.2786,0.0,0.0,0.0,-1.18619e-09,2.21363e-10,-1.47557e-09,0.965183,-0.102902,-2.90554,0.0,0.0,0.0,-1.1862e-09,2.21376e-10,-1.47558e-09,5.47488,-0.417314,-7.73091,0.0,0.0,0.0,-1.18619e-09,2.2136e-10,-1.47557e-09,-2.0427e-09,3.73154e-10,-2.55279e-09,0.0,0.0,0.0,-8.03078e-14,-2.8297e-13,-9.22537e-14,14.3539,3.10204,79.0152,-3.89953,17.0463,-9.59611,-7.23749,-1.02266,-0.064678,-3.90616e-09,-3.66215e-10,2.04199e-09,-0.733487,-0.20892,2.22167,0.0,0.0,0.0,-3.90616e-09,-3.66222e-10,2.042e-09,0.731801,0.0259123,10.2786,0.0,0.0,0.0,-3.90616e-09,-3.66219e-10,2.04199e-09,0.965183,0.102902,2.90554,0.0,0.0,0.0,-3.90616e-09,-3.66238e-10,2.04201e-09,5.47488,0.417314,7.73091,0.0,0.0,0.0,-3.90616e-09,-3.66231e-10,2.04199e-09,-6.76065e-09,-6.25084e-10,3.53191e-09,0.0,0.0,0.0,6.97682,-3.80794,-6.84299,4.69229,-6.46331,-0.52282,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.07499997,-2.33044,-7.4436,-2.04072,0.0,3.88251e-19,2.03217e-16,-2.85776,1.3849,5.72114,25.337,-0.440879,-0.022055,-14.7224,6.82656,2.19463,0.0,0.0,0.0,0.0,-3.88251e-19,-2.03217e-16,-3.4204,5.31121,1.00478,23.6038,0.519541,-0.143896,-9.35565,-11.336,-3.24239,0.0,0.0,0.0,3.04366,-0.934584,1.61109,-1.14816,-0.456222,1.72908,-5.94516e-14,-2.57666e-13,-7.17013e-14,14.5307,-51.2759,-31.9582,-55.1266,120.26,-17.3758,-8.64515,1.22434,0.0921643,-1.15056e-09,1.47744e-10,-1.3116e-09,-0.733487,0.20892,-2.22167,0.0,0.0,0.0,-1.15056e-09,1.47748e-10,-1.31161e-09,0.731801,-0.0259123,-10.2786,0.0,0.0,0.0,-1.15056e-09,1.47743e-10,-1.3116e-09,0.965183,-0.102902,-2.90554,0.0,0.0,0.0,-1.15056e-09,1.47756e-10,-1.31161e-09,5.47488,-0.417314,-7.73091,0.0,0.0,0.0,-1.15056e-09,1.4774e-10,-1.3116e-09,-1.98281e-09,2.46837e-10,-2.26867e-09,0.0,0.0,0.0,-5.9449e-14,-2.57436e-13,-7.16058e-14,14.4625,3.0859,79.0234,-3.91543,17.0961,-9.62288,-7.32177,-1.0347,-0.0661686,-3.36975e-09,-4.43407e-10,1.57775e-09,-0.733487,-0.20892,2.22167,0.0,0.0,0.0,-3.36975e-09,-4.43413e-10,1.57776e-09,0.731801,0.0259123,10.2786,0.0,0.0,0.0,-3.36975e-09,-4.43409e-10,1.57776e-09,0.965183,0.102902,2.90554,0.0,0.0,0.0,-3.36975e-09,-4.43428e-10,1.57777e-09,5.47488,0.417314,7.73091,0.0,0.0,0.0,-3.36975e-09,-4.43421e-10,1.57776e-09,-5.83343e-09,-7.60832e-10,2.72981e-09,0.0,0.0,0.0,7.07288,-3.77595,-6.79851,4.22138,-6.4187,-0.437112,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
